Processed in Sink as enumerable: (UserId, user:299; photo:128458; lat:; long:, 1642352927789)
Processed in Sink as enumerable: (UserId, user:346; photo:128458; lat:; long:, 1642352927789)
Processed in Sink as enumerable: (UserId, user:377; photo:128458; lat:; long:, 1642352927789)
Processed in Sink as enumerable: (UserId, user:4921; photo:10331; lat:47.7725; long:107.25361, 1642352927806)
Processed in Sink as enumerable: (UserId, user:5025; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:5027; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:5040; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:5056; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:9983; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:3972; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:4444; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:5041; photo:10331; lat:; long:, 1642352927806)
Processed in Sink as enumerable: (UserId, user:4193; photo:148035; lat:31.8048; long:35.1124, 1642352927860)
Processed in Sink as enumerable: (UserId, user:4097; photo:148035; lat:; long:, 1642352927860)
Processed in Sink as enumerable: (UserId, user:4098; photo:148035; lat:; long:, 1642352927860)
Processed in Sink as enumerable: (UserId, user:4099; photo:148035; lat:; long:, 1642352927860)
Processed in Sink as enumerable: (UserId, user:4100; photo:148035; lat:; long:, 1642352927860)
Processed in Sink as enumerable: (UserId, user:2277; photo:168463; lat:9.383333; long:79.51667, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2193; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2239; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2240; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2241; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2242; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2181; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2352; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:2355; photo:168463; lat:; long:, 1642352928053)
Processed in Sink as enumerable: (UserId, user:8116; photo:164578; lat:54.933334; long:137.5, 1642352928141)
Processed in Sink as enumerable: (UserId, user:8112; photo:164578; lat:; long:, 1642352928141)
Processed in Sink as enumerable: (UserId, user:6570; photo:123394; lat:28.95; long:118.86667, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6633; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6634; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6635; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6359; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6477; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6753; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6757; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:6758; photo:123394; lat:; long:, 1642352928156)
Processed in Sink as enumerable: (UserId, user:3513; photo:2999; lat:11.783334; long:92.65, 1642352928183)
Processed in Sink as enumerable: (UserId, user:3525; photo:2999; lat:; long:, 1642352928183)
Processed in Sink as enumerable: (UserId, user:3526; photo:2999; lat:; long:, 1642352928183)
Processed in Sink as enumerable: (UserId, user:3425; photo:2999; lat:; long:, 1642352928183)
Processed in Sink as enumerable: (UserId, user:3426; photo:2999; lat:; long:, 1642352928183)
Processed in Sink as enumerable: (UserId, user:3574; photo:2999; lat:; long:, 1642352928183)
Processed in Sink as enumerable: (UserId, user:8621; photo:3219; lat:44; long:18, 1642352928205)
Processed in Sink as enumerable: (UserId, user:8485; photo:3219; lat:; long:, 1642352928205)
Processed in Sink as enumerable: (UserId, user:8494; photo:3219; lat:; long:, 1642352928205)
Processed in Sink as enumerable: (UserId, user:7589; photo:3219; lat:; long:, 1642352928205)
Processed in Sink as enumerable: (UserId, user:9533; photo:162649; lat:-6; long:35, 1642352928246)
Processed in Sink as enumerable: (UserId, user:9228; photo:162649; lat:; long:, 1642352928246)
Processed in Sink as enumerable: (UserId, user:9470; photo:162649; lat:; long:, 1642352928246)
Processed in Sink as enumerable: (UserId, user:8834; photo:162649; lat:; long:, 1642352928246)
Processed in Sink as enumerable: (UserId, user:8837; photo:162649; lat:; long:, 1642352928246)
Processed in Sink as enumerable: (UserId, user:8813; photo:141113; lat:7; long:80, 1642352928314)
Processed in Sink as enumerable: (UserId, user:8672; photo:141113; lat:; long:, 1642352928314)
Processed in Sink as enumerable: (UserId, user:8759; photo:141113; lat:; long:, 1642352928314)
Processed in Sink as enumerable: (UserId, user:8810; photo:141113; lat:; long:, 1642352928314)
Processed in Sink as enumerable: (UserId, user:8811; photo:141113; lat:; long:, 1642352928314)
Processed in Sink as enumerable: (UserId, user:8818; photo:141113; lat:; long:, 1642352928314)
Processed in Sink as enumerable: (UserId, user:9765; photo:16663; lat:35; long:105, 1642352928354)
Processed in Sink as enumerable: (UserId, user:9888; photo:16663; lat:; long:, 1642352928354)
Processed in Sink as enumerable: (UserId, user:9889; photo:16663; lat:; long:, 1642352928354)
Processed in Sink as enumerable: (UserId, user:9891; photo:16663; lat:; long:, 1642352928354)
Processed in Sink as enumerable: (UserId, user:457; photo:143693; lat:18; long:-66, 1642352928360)
Processed in Sink as enumerable: (UserId, user:9749; photo:143693; lat:; long:, 1642352928360)
Processed in Sink as enumerable: (UserId, user:13; photo:143693; lat:; long:, 1642352928360)
Processed in Sink as enumerable: (UserId, user:4301; photo:165191; lat:35.016666; long:135.76666, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4205; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4251; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4253; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4254; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4393; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4394; photo:165191; lat:; long:, 1642352928377)
Processed in Sink as enumerable: (UserId, user:4395; photo:165191; lat:; long:, 1642352928377)
